split	family	scenario	root	regime	center_distance	family_code	expert	budget	attempt_wall_us	accepted	execution_failure	gate_mismatch	terminal_wall_us
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-middle-v1	3	155.916	1	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-middle-v1	4	157.209	1	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-high-v1	0	50.375	0	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-high-v1	2	123.37599999999998	0	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-high-v1	3	156.833	1	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-high-v1	4	156.584	1	0	0	153.583
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-low-v1	0	39.332999999999998	0	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-low-v1	2	109.166	0	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-low-v1	3	144.875	1	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-low-v1	4	143.917	1	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-middle-v1	0	48.375	0	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-middle-v1	2	119.709	0	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-middle-v1	3	154.875	1	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-middle-v1	4	154.708	1	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-high-v1	0	49.875	0	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-high-v1	2	121.541	0	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-high-v1	3	156.166	1	0	0	151.875
training	ConditionedQuadratic	14	1.5309523809523808	0.22265625	0.27734375	0	conditioned-high-v1	4	156.333	1	0	0	151.875
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-low-v1	0	38	0	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-low-v1	2	109.375	0	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-low-v1	3	144.459	1	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-low-v1	4	144.084	1	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-middle-v1	0	47.417000000000002	0	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-middle-v1	2	119.04100000000003	0	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-middle-v1	3	153.917	1	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-middle-v1	4	153.542	1	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-high-v1	0	49.375	0	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-high-v1	2	120.75	0	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-high-v1	3	155.958	1	0	0	153
training	ConditionedQuadratic	15	1.6619047619047618	0.23828125	0.26171875	0	conditioned-high-v1	4	155.208	1	0	0	153
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-low-v1	0	38.334000000000003	0	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-low-v1	2	109.37499999999997	0	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-low-v1	3	144.417	1	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-low-v1	4	144.417	1	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-middle-v1	0	46.582999999999998	0	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-middle-v1	2	118.333	0	0	0	191.041
