split	matrix	request	repetition	schedule_position	attempt_index	backend	budget	executed_iterations	status	wall_us	residual_inf
training	bfwb398	oscillatory-tol6	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	793	2.3716922523120409e-20
training	bfwb398	oscillatory-tol10	0	11	0	gmres-ilut-cpu-v1	250	3	gate-rejected	3995.0419999999999	1.7663764555035395e-11
training	bfwb398	oscillatory-tol10	0	11	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	126.042	1.3269708201452558e-11
training	bfwb398	oscillatory-tol10	0	11	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	634.41700000000003	2.3716922523120409e-20
training	bfwb398	oscillatory-tol10	1	3	0	gmres-ilut-cpu-v1	250	3	gate-rejected	3235.5	1.7663764555035395e-11
training	bfwb398	oscillatory-tol10	1	3	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	209.625	1.3269708201452558e-11
training	bfwb398	oscillatory-tol10	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	806.16700000000003	2.3716922523120409e-20
training	bfwb398	oscillatory-tol10	2	7	0	gmres-ilut-cpu-v1	250	3	gate-rejected	3233.5419999999999	1.7663764555035395e-11
training	bfwb398	oscillatory-tol10	2	7	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	121.5	1.3269708201452558e-11
training	bfwb398	oscillatory-tol10	2	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	587.45899999999995	2.3716922523120409e-20
training	bfwb398	oscillatory-tol10	3	8	0	gmres-ilut-cpu-v1	250	3	gate-rejected	4358.5839999999998	1.7663764555035395e-11
training	bfwb398	oscillatory-tol10	3	8	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	174.167	1.3269708201452558e-11
training	bfwb398	oscillatory-tol10	3	8	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	910.54100000000005	2.3716922523120409e-20
training	bfwb398	oscillatory-tol10	4	2	0	gmres-ilut-cpu-v1	250	3	gate-rejected	3141.5419999999999	1.7663764555035395e-11
training	bfwb398	oscillatory-tol10	4	2	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	122.666	1.3269708201452558e-11
training	bfwb398	oscillatory-tol10	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	863.95799999999997	2.3716922523120409e-20
